yr,ssp3,ssp1,,,,
1686.209,276.74,276.74,,,,
1686.292,276.75,276.75,,,,
1686.375,276.75,276.75,,,,
1686.459,276.75,276.75,,,,
1686.542,276.75,276.75,,,,
1686.625,276.75,276.75,,,,
1686.709,276.76,276.76,,,,
1686.792,276.76,276.76,,,,
1686.875,276.76,276.76,,,,
1686.959,276.76,276.76,,,,
1687.042,276.76,276.76,,,,
1687.125,276.77,276.77,,,,
1687.209,276.77,276.77,,,,
1687.292,276.77,276.77,,,,
1687.375,276.77,276.77,,,,
1687.459,276.78,276.78,,,,
1687.542,276.78,276.78,,,,
1687.625,276.78,276.78,,,,
1687.709,276.78,276.78,,,,
1687.792,276.78,276.78,,,,
1687.875,276.79,276.79,,,,
1687.959,276.79,276.79,,,,
1688.042,276.79,276.79,,,,
1688.125,276.79,276.79,,,,
1688.209,276.8,276.8,,,,
1688.292,276.8,276.8,,,,
1688.375,276.8,276.8,,,,
1688.459,276.8,276.8,,,,
1688.542,276.81,276.81,,,,
1688.625,276.81,276.81,,,,
1688.709,276.81,276.81,,,,
1688.792,276.81,276.81,,,,
1688.875,276.81,276.81,,,,
1688.959,276.82,276.82,,,,
1689.042,276.82,276.82,,,,
1689.125,276.82,276.82,,,,
1689.209,276.82,276.82,,,,
1689.292,276.83,276.83,,,,
1689.375,276.83,276.83,,,,
1689.459,276.83,276.83,,,,
1689.542,276.83,276.83,,,,
1689.625,276.83,276.83,,,,
1689.709,276.84,276.84,,,,
1689.792,276.84,276.84,,,,
1689.875,276.84,276.84,,,,
1689.959,276.84,276.84,,,,
1690.042,276.58,276.58,,,,
1690.125,276.58,276.58,,,,
1690.209,276.59,276.59,,,,
1690.292,276.59,276.59,,,,
1690.375,276.59,276.59,,,,
1690.459,276.59,276.59,,,,
1690.542,276.6,276.6,,,,
1690.625,276.6,276.6,,,,
1690.709,276.6,276.6,,,,
1690.792,276.6,276.6,,,,
1690.875,276.6,276.6,,,,
1690.959,276.61,276.61,,,,
1691.042,276.61,276.61,,,,
1691.125,276.61,276.61,,,,
1691.209,276.61,276.61,,,,
1691.292,276.62,276.62,,,,
1691.375,276.62,276.62,,,,
1691.459,276.62,276.62,,,,
1691.542,276.62,276.62,,,,
1691.625,276.62,276.62,,,,
1691.709,276.63,276.63,,,,
1691.792,276.63,276.63,,,,
1691.875,276.63,276.63,,,,
1691.959,276.63,276.63,,,,
1692.042,276.63,276.63,,,,
1692.125,276.64,276.64,,,,
1692.209,276.64,276.64,,,,
1692.292,276.64,276.64,,,,
1692.375,276.64,276.64,,,,
1692.459,276.65,276.65,,,,
1692.542,276.65,276.65,,,,
1692.625,276.65,276.65,,,,
1692.709,276.65,276.65,,,,
1692.792,276.65,276.65,,,,
1692.875,276.66,276.66,,,,
1692.959,276.66,276.66,,,,
1693.042,276.66,276.66,,,,
1693.125,276.66,276.66,,,,
1693.209,276.67,276.67,,,,
1693.292,276.67,276.67,,,,
1693.375,276.67,276.67,,,,
1693.459,276.67,276.67,,,,
1693.542,276.67,276.67,,,,
1693.625,276.68,276.68,,,,
1693.709,276.68,276.68,,,,
1693.792,276.68,276.68,,,,
1693.875,276.68,276.68,,,,
1693.959,276.68,276.68,,,,
1694.042,276.69,276.69,,,,
1694.125,276.69,276.69,,,,
1694.209,276.69,276.69,,,,
1694.292,276.69,276.69,,,,
1694.375,276.7,276.7,,,,
1694.459,276.7,276.7,,,,
1694.542,276.7,276.7,,,,
1694.625,276.7,276.7,,,,
1694.709,276.7,276.7,,,,
1694.792,276.71,276.71,,,,
1694.875,276.71,276.71,,,,
1694.959,276.71,276.71,,,,
1695.042,276.71,276.71,,,,
1695.125,276.71,276.71,,,,
1695.209,276.72,276.72,,,,
1695.292,276.72,276.72,,,,
1695.375,276.72,276.72,,,,
1695.459,276.72,276.72,,,,
1695.542,276.73,276.73,,,,
1695.625,276.73,276.73,,,,
1695.709,276.73,276.73,,,,
1695.792,276.73,276.73,,,,
1695.875,276.73,276.73,,,,
1695.959,276.74,276.74,,,,
1696.042,276.74,276.74,,,,
1696.125,276.74,276.74,,,,
1696.209,276.74,276.74,,,,
1696.292,276.75,276.75,,,,
1696.375,276.75,276.75,,,,
1696.459,276.75,276.75,,,,
1696.542,276.75,276.75,,,,
1696.625,276.75,276.75,,,,
1696.709,276.76,276.76,,,,
1696.792,276.76,276.76,,,,
1696.875,276.76,276.76,,,,
1696.959,276.76,276.76,,,,
1697.042,276.76,276.76,,,,
1697.125,276.77,276.77,,,,
1697.209,276.77,276.77,,,,
1697.292,276.77,276.77,,,,
1697.375,276.77,276.77,,,,
1697.459,276.78,276.78,,,,
1697.542,276.78,276.78,,,,
1697.625,276.78,276.78,,,,
1697.709,276.78,276.78,,,,
1697.792,276.78,276.78,,,,
1697.875,276.79,276.79,,,,
1697.959,276.79,276.79,,,,
1698.042,276.79,276.79,,,,
1698.125,276.79,276.79,,,,
1698.209,276.8,276.8,,,,
1698.292,276.8,276.8,,,,
1698.375,276.8,276.8,,,,
1698.459,276.8,276.8,,,,
1698.542,276.81,276.81,,,,
1698.625,276.81,276.81,,,,
1698.709,276.81,276.81,,,,
1698.792,276.81,276.81,,,,
1698.875,276.81,276.81,,,,
1698.959,276.82,276.82,,,,
1699.042,276.82,276.82,,,,
1699.125,276.82,276.82,,,,
1699.209,276.82,276.82,,,,
1699.292,276.83,276.83,,,,
1699.375,276.83,276.83,,,,
1699.459,276.83,276.83,,,,
1699.542,276.83,276.83,,,,
1699.625,276.83,276.83,,,,
1699.709,276.84,276.84,,,,
1699.792,276.84,276.84,,,,
1699.875,276.84,276.84,,,,
1699.959,276.61,276.61,,,,
1700.042,276.58,276.58,,,,
1700.125,276.58,276.58,,,,
1700.209,276.59,276.59,,,,
1700.292,276.59,276.59,,,,
1700.375,276.59,276.59,,,,
1700.459,276.59,276.59,,,,
1700.542,276.6,276.6,,,,
1700.625,276.6,276.6,,,,
1700.709,276.6,276.6,,,,
1700.792,276.6,276.6,,,,
1700.875,276.6,276.6,,,,
1700.959,276.61,276.61,,,,
1701.042,276.61,276.61,,,,
1701.125,276.61,276.61,,,,
1701.209,276.61,276.61,,,,
1701.292,276.62,276.62,,,,
1701.375,276.62,276.62,,,,
1701.459,276.62,276.62,,,,
1701.542,276.62,276.62,,,,
1701.625,276.62,276.62,,,,
1701.709,276.63,276.63,,,,
1701.792,276.63,276.63,,,,
1701.875,276.63,276.63,,,,
1701.959,276.63,276.63,,,,
1702.042,276.63,276.63,,,,
1702.125,276.64,276.64,,,,
1702.209,276.64,276.64,,,,
1702.292,276.64,276.64,,,,
1702.375,276.64,276.64,,,,
1702.459,276.65,276.65,,,,
1702.542,276.65,276.65,,,,
1702.625,276.65,276.65,,,,
1702.709,276.65,276.65,,,,
1702.792,276.65,276.65,,,,
1702.875,276.66,276.66,,,,
1702.959,276.66,276.66,,,,
1703.042,276.66,276.66,,,,
1703.125,276.66,276.66,,,,
1703.209,276.67,276.67,,,,
1703.292,276.67,276.67,,,,
1703.375,276.67,276.67,,,,
1703.459,276.67,276.67,,,,
1703.542,276.67,276.67,,,,
1703.625,276.68,276.68,,,,
1703.709,276.68,276.68,,,,
1703.792,276.68,276.68,,,,
1703.875,276.68,276.68,,,,
1703.959,276.68,276.68,,,,
1704.042,276.69,276.69,,,,
1704.125,276.69,276.69,,,,
1704.209,276.69,276.69,,,,
1704.292,276.69,276.69,,,,
1704.375,276.7,276.7,,,,
1704.459,276.7,276.7,,,,
1704.542,276.7,276.7,,,,
1704.625,276.7,276.7,,,,
1704.709,276.7,276.7,,,,
1704.792,276.71,276.71,,,,
1704.875,276.71,276.71,,,,
1704.959,276.71,276.71,,,,
1705.042,276.71,276.71,,,,
1705.125,276.71,276.71,,,,
1705.209,276.72,276.72,,,,
1705.292,276.72,276.72,,,,
1705.375,276.72,276.72,,,,
1705.459,276.72,276.72,,,,
1705.542,276.73,276.73,,,,
1705.625,276.73,276.73,,,,
1705.709,276.73,276.73,,,,
1705.792,276.73,276.73,,,,
1705.875,276.73,276.73,,,,
1705.959,276.74,276.74,,,,
1706.042,276.74,276.74,,,,
1706.125,276.74,276.74,,,,
1706.209,276.74,276.74,,,,
1706.292,276.75,276.75,,,,
1706.375,276.75,276.75,,,,
1706.459,276.75,276.75,,,,
1706.542,276.75,276.75,,,,
1706.625,276.75,276.75,,,,
1706.709,276.76,276.76,,,,
1706.792,276.76,276.76,,,,
1706.875,276.76,276.76,,,,
1706.959,276.76,276.76,,,,
1707.042,276.76,276.76,,,,
1707.125,276.77,276.77,,,,
1707.209,276.77,276.77,,,,
1707.292,276.77,276.77,,,,
1707.375,276.77,276.77,,,,
1707.459,276.78,276.78,,,,
1707.542,276.78,276.78,,,,
1707.625,276.78,276.78,,,,
1707.709,276.78,276.78,,,,
1707.792,276.78,276.78,,,,
1707.875,276.79,276.79,,,,
1707.959,276.79,276.79,,,,
1708.042,276.79,276.79,,,,
1708.125,276.79,276.79,,,,
1708.209,276.8,276.8,,,,
1708.292,276.8,276.8,,,,
1708.375,276.8,276.8,,,,
1708.459,276.8,276.8,,,,
1708.542,276.81,276.81,,,,
1708.625,276.81,276.81,,,,
1708.709,276.81,276.81,,,,
1708.792,276.81,276.81,,,,
1708.875,276.81,276.81,,,,
1708.959,276.82,276.82,,,,
1709.042,276.82,276.82,,,,
1709.125,276.82,276.82,,,,
1709.209,276.82,276.82,,,,
1709.292,276.83,276.83,,,,
1709.375,276.83,276.83,,,,
1709.459,276.83,276.83,,,,
1709.542,276.83,276.83,,,,
1709.625,276.83,276.83,,,,
1709.709,276.84,276.84,,,,
1709.792,276.84,276.84,,,,
1709.875,276.84,276.84,,,,
1709.959,276.84,276.84,,,,
1710.042,276.85,276.85,,,,
1710.125,276.85,276.85,,,,
1710.209,276.85,276.85,,,,
1710.292,276.85,276.85,,,,
1710.375,276.86,276.86,,,,
1710.459,276.86,276.86,,,,
1710.542,276.86,276.86,,,,
1710.625,276.86,276.86,,,,
1710.709,276.87,276.87,,,,
1710.792,276.87,276.87,,,,
1710.875,276.87,276.87,,,,
1710.959,276.87,276.87,,,,
1711.042,276.87,276.87,,,,
1711.125,276.88,276.88,,,,
1711.209,276.88,276.88,,,,
1711.292,276.88,276.88,,,,
1711.375,276.88,276.88,,,,
1711.459,276.89,276.89,,,,
1711.542,276.89,276.89,,,,
1711.625,276.89,276.89,,,,
1711.709,276.89,276.89,,,,
1711.792,276.9,276.9,,,,
1711.875,276.9,276.9,,,,
1711.959,276.9,276.9,,,,
1712.042,276.9,276.9,,,,
1712.125,276.91,276.91,,,,
1712.209,276.91,276.91,,,,
1712.292,276.91,276.91,,,,
1712.375,276.91,276.91,,,,
1712.459,276.92,276.92,,,,
1712.542,276.92,276.92,,,,
1712.625,276.92,276.92,,,,
